id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_worde	coupon	partner_coupon_dawnload	interest_free_event	point	installation_costs	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	class	update_time
87	태국 파타야 뉴타이CC 1박 골프패키지	105000	105000	105000	http://www.gostaygolf.com/goods/view.html?pid=87		http://staygolf1.cafe24.com/thailand/pattaya/newthai/2.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										뉴타이CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
12	보난자CC	80000	80000	80000	http://www.gostaygolf.com/goods/view.html?pid=12		http://staygolf1.cafe24.com/thailand/khaoyai/bonanza/8.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										보난자CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
20	로얄잼스CC	140000	140000	140000	http://www.gostaygolf.com/goods/view.html?pid=20		http://staygolf1.cafe24.com/thailand/khaoyai/royalgems/0.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										로얄잼스CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
21	나라이힐CC	65000	65000	65000	http://www.gostaygolf.com/goods/view.html?pid=21		http://staygolf1.cafe24.com/thailand/khaoyai/naraihill/1.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										나라이힐CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
22	로얄라차부리CC	70000	70000	70000	http://www.gostaygolf.com/goods/view.html?pid=22		http://staygolf1.cafe24.com/thailand/kanchanaburi/royalratchaburi/0.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										로얄라차부리CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
28	유니랜드CC	110000	110000	110000	http://www.gostaygolf.com/goods/view.html?pid=28		http://staygolf1.cafe24.com/thailand/bangkok/uniland/9.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										유니랜드CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
24	미션힐CC	40000	40000	40000	http://www.gostaygolf.com/goods/view.html?pid=24		http://staygolf1.cafe24.com/thailand/kanchanaburi/missionhills/0.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										미션힐CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
31	워터밀CC	60000	60000	60000	http://www.gostaygolf.com/goods/view.html?pid=31		http://staygolf1.cafe24.com/thailand/bangkok/watermill/8.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										워터밀CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
30	써밋윈드밀CC	145000	145000	145000	http://www.gostaygolf.com/goods/view.html?pid=30		http://staygolf1.cafe24.com/thailand/bangkok/summitwindmill/0.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										써밋윈드밀CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
32	윈저팍CC	120000	120000	120000	http://www.gostaygolf.com/goods/view.html?pid=32		http://staygolf1.cafe24.com/thailand/bangkok/windsorpark/6.jpg		여행	해외여행	골프여행	태국골프여행	50001645		신상품										윈저팍CC		태국		오픈기념 할인, 카드프로모션, 골프텔 스탠다드 2인실기준, 주중요금			삼성^2~5|현대^2~5|롯데^2~5|하나^2~5|비씨^2~5|국민^2~5|농협^2~5|씨티^2~6|신한^2~3|	자체포인트^1%		태국골프투어|태국골프여행|골프투어|골프여행|방콕골프						0			1일 그린피^골프텔2인실^3식사포함	카트비^캐디피^캐디팁^차량픽업		성인	남여공용	I	2016.11.24 16:04
